character,event_summary,book,paragraph_num
Harry,"Kreacher, who was now lying flat on his back with his arms and legs in the air, gave Harry one upsidedown look of deepest loathing and, with another loud crack, vanished.",06 Harry Potter And The Half-Blood Prince,364
Buckbeak,I think Buckbeak would prefer that.”,06 Harry Potter And The Half-Blood Prince,366
Harry,"Now, Harry, is your trunk packed?”",06 Harry Potter And The Half-Blood Prince,367
Dumbledore,Dumbledore suggested shrewdly.,06 Harry Potter And The Half-Blood Prince,368
Dursleys,And he turned to speak to the Dursleys once more.,06 Harry Potter And The Half-Blood Prince,373
Harry,“The magic I evoked fifteen years ago means that Harry has powerful protection while he can still call this house ‘home.’,06 Harry Potter And The Half-Blood Prince,384
Harry,"This magic will cease to operate the moment that Harry turns seventeen; in other words, at the moment he becomes a man.",06 Harry Potter And The Half-Blood Prince,384
Dudley,"Dudley was frowning slightly, as though he was still trying to work out when he had ever been mistreated.",06 Harry Potter And The Half-Blood Prince,385
Uncle Vernon,"Uncle Vernon looked as though he had something stuck in his throat; Aunt Petunia, however, was oddly flushed.",06 Harry Potter And The Half-Blood Prince,385
Aunt Petunia,"Uncle Vernon looked as though he had something stuck in his throat; Aunt Petunia, however, was oddly flushed.",06 Harry Potter And The Half-Blood Prince,385
Burrow,“I shall send them to the Burrow to await us there.,06 Harry Potter And The Half-Blood Prince,388
Dumbledore,"“If there is an attack,” said Dumbledore, “I give you permission to use any counterjinx or curse that might occur to you.",06 Harry Potter And The Half-Blood Prince,394
Harry,"Harry felt Dumbledore’s arm twist away from him and redoubled his grip; the next thing he knew, everything went black; he was being pressed very hard from all directions; he could not breathe, there were iron bands tightening around his chest; his eyeballs were being forced back into his head; his eardrums were being pushed deeper into his skull and then —-",06 Harry Potter And The Half-Blood Prince,400
Harry,"His comprehension catching up with his senses, Harry realized that he had just Apparated for the first time in his life.",06 Harry Potter And The Half-Blood Prince,401
Harry,Harry raised a hand unconsciously to his forehead and rubbed i he lightningshaped mark.,06 Harry Potter And The Half-Blood Prince,407
Hogwarts,We are here to persuade an old colleague of mine to come out of retirement and return to Hogwarts.”,06 Harry Potter And The Half-Blood Prince,414
Harry,"Thinking of dementors, Harry cast a look over his shoulder and grasped his wand reassuringly in his pocket.",06 Harry Potter And The Half-Blood Prince,416
Harry,"“— you can’t Apparate anywhere inside the buildings or grounds,” said Harry quickly.",06 Harry Potter And The Half-Blood Prince,419
Dumbledore,"“Correct,” said Dumbledore, now turning up a steep side street.",06 Harry Potter And The Half-Blood Prince,422
Scrimgeour,"“He has been replaced, as ] am sure you also saw, by Rufus Scrimgeour, who used to be Head of the Auror office.”",06 Harry Potter And The Half-Blood Prince,422
Dumbledore,"“An interesting question,” said Dumbledore.",06 Harry Potter And The Half-Blood Prince,423
Harry,"“For future reference, Harry, it is raspberry… although of course, if I were a Death Eater, I would have been sure to research my own jam preferences before impersonating myself.”",06 Harry Potter And The Half-Blood Prince,433
Dumbledore,"“They are corpses,” said Dumbledore calmly.",06 Harry Potter And The Half-Blood Prince,435
Harry,Harry followed his gaze up the carefully tended front path and felt his heart sink.,06 Harry Potter And The Half-Blood Prince,437
Harry,"Holding his illuminated wand aloft, Dumbledore walked into the sitting room with Harry right behind him.",06 Harry Potter And The Half-Blood Prince,440
Dumbledore,"Holding his illuminated wand aloft, Dumbledore walked into the sitting room with Harry right behind him.",06 Harry Potter And The Half-Blood Prince,440
Dumbledore,"Where a split second before there had been an armchair, there now crouched an enormously fat, bald, old man who was massaging his lower belly and squinting up at Dumbledore with an aggrieved and watery eye.",06 Harry Potter And The Half-Blood Prince,448
Dumbledore,"“My dear Horace,” said Dumbledore, looking amused, “if the Death Eaters really had come to call, the Dark Mark would have been set over the house.”",06 Harry Potter And The Half-Blood Prince,452
Horace,"“My dear Horace,” said Dumbledore, looking amused, “if the Death Eaters really had come to call, the Dark Mark would have been set over the house.”",06 Harry Potter And The Half-Blood Prince,452
Harry’s,"“Oho,” he said, his large round eyes flying to Harry’s forehead and the lightningshaped scar it bore.",06 Harry Potter And The Half-Blood Prince,465
Harry Potter,"“This,” said Dumbledore, moving forward to make the introduction, “is Harry Potter.",06 Harry Potter And The Half-Blood Prince,466
Dumbledore,"“This,” said Dumbledore, moving forward to make the introduction, “is Harry Potter.",06 Harry Potter And The Half-Blood Prince,466
Dumbledore,"Slughorn turned on Dumbledore, his expression shrewd.",06 Harry Potter And The Half-Blood Prince,467
Harry,"He pushed past Harry, his face turned resolutely away with the air of a man trying to resist temptation.",06 Harry Potter And The Half-Blood Prince,468
Harry,"Harry took the seat with the distinct impression that Dumbledore, for some reason, wanted to keep him as visible as possible.",06 Harry Potter And The Half-Blood Prince,470
Dumbledore,"Harry took the seat with the distinct impression that Dumbledore, for some reason, wanted to keep him as visible as possible.",06 Harry Potter And The Half-Blood Prince,470
Horace,"“Well, how have you been keeping, Horace?”",06 Harry Potter And The Half-Blood Prince,472
Dumbledore,"“So, all these precautions against intruders, Horace… are they for the Death Eaters’ benefit, or mine?” asked Dumbledore.",06 Harry Potter And The Half-Blood Prince,481
Horace,"“So, all these precautions against intruders, Horace… are they for the Death Eaters’ benefit, or mine?” asked Dumbledore.",06 Harry Potter And The Half-Blood Prince,481
Dumbledore,"“I imagine that they would want you to turn your considerable talents to coercion, torture, and murder,” said Dumbledore.",06 Harry Potter And The Half-Blood Prince,483
Freezing Charm,"It’s quite easy once you know how, one simple Freezing Charm on these absurd burglar alarms they use instead of Sneakoscopes and make sure the neighbors don’t spot you bringing in the piano.”",06 Harry Potter And The Half-Blood Prince,484
Dumbledore,"“Ingenious,” said Dumbledore.",06 Harry Potter And The Half-Blood Prince,485
Hogwarts,"Now, if you were to return to Hogwarts —”",06 Harry Potter And The Half-Blood Prince,485
Horace,"“I think you, Horace, would have known better than to stride into the forest and call a horde of angry centaurs ‘filthy halfbreeds.’”",06 Harry Potter And The Half-Blood Prince,487
Harry’s,"Slughorn’s watery eyes slid over Harry’s scar, this time taking in the rest of his face.",06 Harry Potter And The Half-Blood Prince,496
Gringotts,"And there was Dirk Cresswell in the year after her too — now Head of the Goblin Liaison Office, of course — another Muggleborn, a very gifted student, and still gives me excellent inside information on the goingson at Gringotts!”",06 Harry Potter And The Half-Blood Prince,506
Dirk Cresswell,"And there was Dirk Cresswell in the year after her too — now Head of the Goblin Liaison Office, of course — another Muggleborn, a very gifted student, and still gives me excellent inside information on the goingson at Gringotts!”",06 Harry Potter And The Half-Blood Prince,506
Dumbledore,"All very well for Dumbledore to talk, but taking up a post at Hogwarts just now would be tantamount to declaring my public allegiance to the Order of the Phoenix!",06 Harry Potter And The Half-Blood Prince,513
Dumbledore,"“I reckon the staff are safer than most people while Dumbledore’s headmaster; he’s supposed to be the only one Voldemort ever feared, isn’t he?”",06 Harry Potter And The Half-Blood Prince,516
Amelia Bones’s,"“And I suppose one could argue that as I have not joined the Death Kilters, HeWhoMustNotBeNamed can hardly count me a friend… in which case, I might well be safer a little closer to Albus… I cannot pretend that Amelia Bones’s death did not shake me… If she, with all her Ministry contacts and protection…”",06 Harry Potter And The Half-Blood Prince,518
Harry,"Not at all reluctant to obey, Harry jumped to his feet.",06 Harry Potter And The Half-Blood Prince,522
Hogwarts,You showed Horace exactly how much he stands to gain by returning to Hogwarts.,06 Harry Potter And The Half-Blood Prince,532
Horace,You showed Horace exactly how much he stands to gain by returning to Hogwarts.,06 Harry Potter And The Half-Blood Prince,532
Hogwarts,"He used to handpick favorites at Hogwarts, sometimes for their ambition or their brains, sometimes for their charm or their talent, and he had an uncanny knack for choosing those who would go on to become outstanding in their various fields.",06 Harry Potter And The Half-Blood Prince,534
Harry,"He will undoubtedly try to collect you, Harry.",06 Harry Potter And The Half-Blood Prince,536
Harry,"Braced this time, Harry was ready for the Apparition, but still found it unpleasant.",06 Harry Potter And The Half-Blood Prince,539
Harry,Harry swallowed; his voice seemed to have deserted him.,06 Harry Potter And The Half-Blood Prince,543
Harry,"Harry nodded, his eyes fixed resolutely on the spider now climbing Dumbledore’s hat.",06 Harry Potter And The Half-Blood Prince,545
Harry,"“It’s just hard,” Harry said finally, in a low voice, “to realize he won’t write to me again.”",06 Harry Potter And The Half-Blood Prince,546
Harry,"“But while I was at the Dursleys’…” interrupted Harry, his voice growing stronger, “I realized I cant shut myself away or — or crack up.",06 Harry Potter And The Half-Blood Prince,549
Harry,"“And now, Harry, on a closely related subject… I gather that you have been taking the Daily Prophet over the last two weeks?”",06 Harry Potter And The Half-Blood Prince,551
Harry,"“Yes,” said Harry, and his heart beat a little faster.",06 Harry Potter And The Half-Blood Prince,552
Voldemort,"“There are only two people in the whole world who know the full contents of the prophecy made about you and Lord Voldemort, and they are both standing in this smelly, spidery broom shed.",06 Harry Potter And The Half-Blood Prince,555
Dumbledore,"“A wise decision, on the whole,” said Dumbledore.",06 Harry Potter And The Half-Blood Prince,557
Harry,"You need your friends, Harry.",06 Harry Potter And The Half-Blood Prince,558
Dumbledore,"“Don’t count your owls before they are delivered,” said Dumbledore gravely.",06 Harry Potter And The Half-Blood Prince,569
Harry,"Harry thought she looked drawn, even ill, and there was something forced in her smile.",06 Harry Potter And The Half-Blood Prince,579
Scrimgeour,"“Please don’t leave on my account,” said Dumbledore courteously, “I cannot stay, I have urgent matters to discuss with Rufus Scrimgeour.”",06 Harry Potter And The Half-Blood Prince,581
Dumbledore,"“Please don’t leave on my account,” said Dumbledore courteously, “I cannot stay, I have urgent matters to discuss with Rufus Scrimgeour.”",06 Harry Potter And The Half-Blood Prince,581
Ron,"“You’re like Ron,” she sighed, looking him up and down.",06 Harry Potter And The Half-Blood Prince,588
Ron’s,I swear Ron’s grown four inches since I last bought him school robes.,06 Harry Potter And The Half-Blood Prince,588
Dumbledore,"“He was at Hogwarts for ages, started around the same time as Dumbledore, I think.",06 Harry Potter And The Half-Blood Prince,597
Arthur,"“Of course he can be charming when he wants to be, but Arthur’s never liked him much.",06 Harry Potter And The Half-Blood Prince,599
Arthur,"The Ministry’s littered with Slughorn’s old favorites, he was always good at giving leg ups, but he never had much time for Arthur… didn’t seem to think he was enough of a highflier.",06 Harry Potter And The Half-Blood Prince,599
Weasley,"“You are sweet,” beamed Mrs. Weasley, possibly taking his watering eyes for emotion at the news.",06 Harry Potter And The Half-Blood Prince,602
Scrimgeour,"“Yes, Rufus Scrimgeour has set up several new offices in response to the present situation, and Arthur’s heading the Office for the Detection and Confiscation of Counterfeit Defensive Spells and Protective Objects.",06 Harry Potter And The Half-Blood Prince,602
Arthur,"“Yes, Rufus Scrimgeour has set up several new offices in response to the present situation, and Arthur’s heading the Office for the Detection and Confiscation of Counterfeit Defensive Spells and Protective Objects.",06 Harry Potter And The Half-Blood Prince,602
Arthur,The other day Arthur confiscated a box of cursed Sneakoscopes that were almost certainly planted by a Death Eater.,06 Harry Potter And The Half-Blood Prince,603
Harry,"Mrs. Weasley ended her speech with a stern look, as if it had been Harry suggesting that it was natural to miss spark plugs.",06 Harry Potter And The Half-Blood Prince,603
Weasley,"Mrs. Weasley ended her speech with a stern look, as if it had been Harry suggesting that it was natural to miss spark plugs.",06 Harry Potter And The Half-Blood Prince,603
Harry,"Harry recognized it at once: It had nine hands, each inscribed with the name of a family member, and usually hung on i he Weasleys’ sitting room wall, though its current position suggested that Mrs. Weasley had taken to carrying it around the house with her.",06 Harry Potter And The Half-Blood Prince,605
Weasley,"Harry recognized it at once: It had nine hands, each inscribed with the name of a family member, and usually hung on i he Weasleys’ sitting room wall, though its current position suggested that Mrs. Weasley had taken to carrying it around the house with her.",06 Harry Potter And The Half-Blood Prince,605
Harry,"Even by the dim light of the lantern Harry could tell that Mrs. Weasley had turned bright red; he himself felt suddenly warm around the ears and neck, and hastily gulped soup, clattering his spoon as loudly as he could against the bowl.",06 Harry Potter And The Half-Blood Prince,613
Weasley,"Even by the dim light of the lantern Harry could tell that Mrs. Weasley had turned bright red; he himself felt suddenly warm around the ears and neck, and hastily gulped soup, clattering his spoon as loudly as he could against the bowl.",06 Harry Potter And The Half-Blood Prince,613
Weasley,"“I still don’t see why we have to go through that every time you come home,” said Mrs. Weasley, still pink in the face as she helped her husband out of his cloak.",06 Harry Potter And The Half-Blood Prince,617
Harry,"They shook hands, and Mr. Weasley dropped into the chair beside Harry as Mrs. Weasley set a bowl of soup in front of him too.",06 Harry Potter And The Half-Blood Prince,620
Weasley,"They shook hands, and Mr. Weasley dropped into the chair beside Harry as Mrs. Weasley set a bowl of soup in front of him too.",06 Harry Potter And The Half-Blood Prince,620
Weasley,"“It sounds like the sort of thing Fred and George would find funny,” said Mrs. Weasley hesitantly.",06 Harry Potter And The Half-Blood Prince,623
Fred,"“It sounds like the sort of thing Fred and George would find funny,” said Mrs. Weasley hesitantly.",06 Harry Potter And The Half-Blood Prince,623
George,"“It sounds like the sort of thing Fred and George would find funny,” said Mrs. Weasley hesitantly.",06 Harry Potter And The Half-Blood Prince,623
Harry’s,"A considerable amount of floor space was devoted to a vast number of unmarked, sealed cardboard boxes, amongst which stood Harry’s school trunk.",06 Harry Potter And The Half-Blood Prince,630
Harry,"Seconds later, or so it seemed to Harry, he was awakened by what sounded like cannon fire as the door burst open.",06 Harry Potter And The Half-Blood Prince,632
Harry,"“He looks a bit like a walrus, and he used to be Head of Slytherin,” said Harry.",06 Harry Potter And The Half-Blood Prince,648
Harry,"The bedroom door flew open again, and Harry instinctively yanked the bedcovers up to his chin so hard that Hermione and Ginny slid off the bed onto the floor.",06 Harry Potter And The Half-Blood Prince,660
Hermione,"The bedroom door flew open again, and Harry instinctively yanked the bedcovers up to his chin so hard that Hermione and Ginny slid off the bed onto the floor.",06 Harry Potter And The Half-Blood Prince,660
Ginny,"The bedroom door flew open again, and Harry instinctively yanked the bedcovers up to his chin so hard that Hermione and Ginny slid off the bed onto the floor.",06 Harry Potter And The Half-Blood Prince,660
Weasley,"Her great blue eyes widened and she looked reproachfully at Mrs. Weasley, who said, “We hadn’t got around to telling him yet.”",06 Harry Potter And The Half-Blood Prince,667
Harry,"“Well, I’d better get on… Eat your eggs while they’re warm, Harry.”",06 Harry Potter And The Half-Blood Prince,678
Hermione,"“It’s pathetic,” said Hermione furiously, striding away from Ron as far as she could go and turning to face him with her arms folded once she had reached the wall.",06 Harry Potter And The Half-Blood Prince,682
Ron,"“It’s pathetic,” said Hermione furiously, striding away from Ron as far as she could go and turning to face him with her arms folded once she had reached the wall.",06 Harry Potter And The Half-Blood Prince,682
Ron,"“Yeah, that’ll work,” said Ron sarcastically.",06 Harry Potter And The Half-Blood Prince,685
Harry,"“Fleur’s not stupid, she was good enough to enter the Triwizard Tournament,” said Harry.",06 Harry Potter And The Half-Blood Prince,687
Ginny,"“I suppose you like the way Phlegm says ‘ ‘Any,’ do you?” asked Ginny scornfully.",06 Harry Potter And The Half-Blood Prince,688
Harry,"“No,” said Harry, wishing he hadn’t spoken, “I was just saying, Phlegm… I mean, Fleur…”",06 Harry Potter And The Half-Blood Prince,689
Phlegm,"“No,” said Harry, wishing he hadn’t spoken, “I was just saying, Phlegm… I mean, Fleur…”",06 Harry Potter And The Half-Blood Prince,689
Harry,Harry took advantage of the temporary silence to eat more breakfast.,06 Harry Potter And The Half-Blood Prince,704
George,“Said Fred and George have got a real flair for business.”,06 Harry Potter And The Half-Blood Prince,707
Said Fred,“Said Fred and George have got a real flair for business.”,06 Harry Potter And The Half-Blood Prince,707
Harry,“And what about Percy?” asked Harry; the thirdeldest Weasley brother had fallen out with the rest of the family.,06 Harry Potter And The Half-Blood Prince,709
Percy,“And what about Percy?” asked Harry; the thirdeldest Weasley brother had fallen out with the rest of the family.,06 Harry Potter And The Half-Blood Prince,709
Harry conversationally,"“He’s going to be giving me private lessons this year,” said Harry conversationally.",06 Harry Potter And The Half-Blood Prince,713
Ron,"Ron choked on his bit of toast, and Hermione gasped.",06 Harry Potter And The Half-Blood Prince,714
Harry,"Harry laid down his knife and fork, his heart beating rather fast considering that all he was doing was sitting in bed.",06 Harry Potter And The Half-Blood Prince,717
Dumbledore,Dumbledore had said to do it… Why not now?,06 Harry Potter And The Half-Blood Prince,717
Harry,"“We wondered, after we got back from the Ministry… Obviously, we didn’t want to say anything to you, but from what Lucius Malfoy said about the prophecy, how it was about you and Voldemort, well, we thought it might be something like this… Oh, Harry…” She stared at him, then whispered, “Are you scared?”",06 Harry Potter And The Half-Blood Prince,728
Voldemort,"“We wondered, after we got back from the Ministry… Obviously, we didn’t want to say anything to you, but from what Lucius Malfoy said about the prophecy, how it was about you and Voldemort, well, we thought it might be something like this… Oh, Harry…” She stared at him, then whispered, “Are you scared?”",06 Harry Potter And The Half-Blood Prince,728
Lucius Malfoy,"“We wondered, after we got back from the Ministry… Obviously, we didn’t want to say anything to you, but from what Lucius Malfoy said about the prophecy, how it was about you and Voldemort, well, we thought it might be something like this… Oh, Harry…” She stared at him, then whispered, “Are you scared?”",06 Harry Potter And The Half-Blood Prince,728
Harry,"“I wonder what he’ll teach you, Harry?",06 Harry Potter And The Half-Blood Prince,731
Harry,Harry did not really listen.,06 Harry Potter And The Half-Blood Prince,732
Ron,"“Well, at least you know one lesson you’ll be having this year, that’s one more than Ron and me.",06 Harry Potter And The Half-Blood Prince,733
Dumbledore,“I think Dumbledore said our OWL results would be arriving today!”,06 Harry Potter And The Half-Blood Prince,734
Ginny,"“It’ll be Fred and George’s idea of a funny joke, making sure it can’t come off,” said Ginny.",06 Harry Potter And The Half-Blood Prince,738
Fred,"“It’ll be Fred and George’s idea of a funny joke, making sure it can’t come off,” said Ginny.",06 Harry Potter And The Half-Blood Prince,738
George’s,"“It’ll be Fred and George’s idea of a funny joke, making sure it can’t come off,” said Ginny.",06 Harry Potter And The Half-Blood Prince,738
Hermione,"“Yes, I can hardly breathe for laughing,” snapped Hermione.",06 Harry Potter And The Half-Blood Prince,742
Weasley,"“Mrs. Weasley, you’re quite, quite sure no owls have arrived this morning?”",06 Harry Potter And The Half-Blood Prince,744
Ron,"“Hermione, will you shut up, you’re not the only one who’s nervous!” barked Ron.",06 Harry Potter And The Half-Blood Prince,747
Hermione,"“Don’t, don’t, don’t!” said Hermione, flapping her hands hysterically.",06 Harry Potter And The Half-Blood Prince,748
McGonagall,"“We discuss our options with our Head of House, I asked Professor McGonagall at the end of last term.”",06 Harry Potter And The Half-Blood Prince,750
Hermione,"“They’re definitely owls,” said Ron hoarsely, jumping up to join Hermione at the window.",06 Harry Potter And The Half-Blood Prince,754
Ron hoarsely,"“They’re definitely owls,” said Ron hoarsely, jumping up to join Hermione at the window.",06 Harry Potter And The Half-Blood Prince,754
Hermione,"“One for each of us,” said Hermione in a terrified whisper.",06 Harry Potter And The Half-Blood Prince,756
Ron,"To his left, Ron was trying to detach his own results; to his right, Hermione’s hands were shaking so much she was making her whole owl tremble.",06 Harry Potter And The Half-Blood Prince,760
Mum,"“Mum, are there any more sausages?”",06 Harry Potter And The Half-Blood Prince,770
Harry,"It was odd, really, seeing that it had been a Death Eater in disguise who had first told Harry he would make a good Auror, but somehow the idea had taken hold of him, and he couldn’t really think of anything else he would like to be.",06 Harry Potter And The Half-Blood Prince,772
Harry,Harry remained within the confines of the Burrow’s garden over the next few weeks.,06 Harry Potter And The Half-Blood Prince,773
Ginny,"He spent most of his days playing twoaside Quidditch in the Weasleys’ orchard (he and Hermione against Ron and Ginny; Hermione was dreadful and Ginny good, so they were reasonably well matched) and his evenings eating triple helpings of everything Mrs. Weasley put in front of him.",06 Harry Potter And The Half-Blood Prince,773
Weasley,"He spent most of his days playing twoaside Quidditch in the Weasleys’ orchard (he and Hermione against Ron and Ginny; Hermione was dreadful and Ginny good, so they were reasonably well matched) and his evenings eating triple helpings of everything Mrs. Weasley put in front of him.",06 Harry Potter And The Half-Blood Prince,773
Quidditch,"He spent most of his days playing twoaside Quidditch in the Weasleys’ orchard (he and Hermione against Ron and Ginny; Hermione was dreadful and Ginny good, so they were reasonably well matched) and his evenings eating triple helpings of everything Mrs. Weasley put in front of him.",06 Harry Potter And The Half-Blood Prince,773
Hermione against Ron and,"He spent most of his days playing twoaside Quidditch in the Weasleys’ orchard (he and Hermione against Ron and Ginny; Hermione was dreadful and Ginny good, so they were reasonably well matched) and his evenings eating triple helpings of everything Mrs. Weasley put in front of him.",06 Harry Potter And The Half-Blood Prince,773
Weasley,Sometimes Bill and Mr. Weasley brought home news before it even reached the paper.,06 Harry Potter And The Half-Blood Prince,774
Bill,Sometimes Bill and Mr. Weasley brought home news before it even reached the paper.,06 Harry Potter And The Half-Blood Prince,774
Harry’s,Harry’s included a surprise: he had been made Quidditch Captain.,06 Harry Potter And The Half-Blood Prince,784
Mum,"“Mum, d’you honestly think YouKnowWho’s going to be hiding behind a bookshelf in Flourish and Blotts?” sniggered Ron.",06 Harry Potter And The Half-Blood Prince,788
Ron,"“Mum, d’you honestly think YouKnowWho’s going to be hiding behind a bookshelf in Flourish and Blotts?” sniggered Ron.",06 Harry Potter And The Half-Blood Prince,788
Hogwarts,“And that goes for returning to Hogwarts as well!”,06 Harry Potter And The Half-Blood Prince,791
Blimey,“Blimey… you can’t even make a joke round here anymore…”,06 Harry Potter And The Half-Blood Prince,793
Ron,But Ron was careful not to be flippant about Voldemort over the next few days.,06 Harry Potter And The Half-Blood Prince,794
Harry,"“I got it out of your vault for you, Harry, because it’s taking about five hours for the public to get to their gold at the moment, the goblins have tightened security so much.",06 Harry Potter And The Half-Blood Prince,796
Harry,"Harry choked over his cornflakes, and Ron thumped him on the back.",06 Harry Potter And The Half-Blood Prince,797
Ron,"Harry choked over his cornflakes, and Ron thumped him on the back.",06 Harry Potter And The Half-Blood Prince,797
Weasley,He and Mrs. Weasley were in front with the Ministry driver; the front passenger seat had obligingly stretched into what resembled a twoseater sofa.,06 Harry Potter And The Half-Blood Prince,800
Harry,Harry said nothing; he did not much fancy doing his shopping while surrounded by a battalion of Aurors.,06 Harry Potter And The Half-Blood Prince,801
Dumbledore,"He had stowed his Invisibility Cloak in his backpack and felt that, if that was good enough for Dumbledore, it ought to be good enough for the Ministry, though now he came to think of it, he was not sure the Ministry knew about his cloak.",06 Harry Potter And The Half-Blood Prince,801
Harry,Harry imitated Mr. Weasley and peered through the window; his heart leapt.,06 Harry Potter And The Half-Blood Prince,804
Weasley,Harry imitated Mr. Weasley and peered through the window; his heart leapt.,06 Harry Potter And The Half-Blood Prince,804
Tom,"Only Tom the landlord, wizened and toothless, remained of the old crowd.",06 Harry Potter And The Half-Blood Prince,808
yeh,"He looked up hopefully as they entered, but before he could speak, Hagrid said importantly, “Jus’ passin’ through today, Tom, sure yeh understand, Hogwarts business, yeh know.”",06 Harry Potter And The Half-Blood Prince,808
Tom,"He looked up hopefully as they entered, but before he could speak, Hagrid said importantly, “Jus’ passin’ through today, Tom, sure yeh understand, Hogwarts business, yeh know.”",06 Harry Potter And The Half-Blood Prince,808
Jus,"He looked up hopefully as they entered, but before he could speak, Hagrid said importantly, “Jus’ passin’ through today, Tom, sure yeh understand, Hogwarts business, yeh know.”",06 Harry Potter And The Half-Blood Prince,808
Harry,"Tom nodded gloomily and returned to wiping glasses; Harry, Hermione, Hagrid, and the Weasleys walked through the bar and out into the chilly little courtyard at the back where the dustbins stood.",06 Harry Potter And The Half-Blood Prince,809
Tom,"Tom nodded gloomily and returned to wiping glasses; Harry, Hermione, Hagrid, and the Weasleys walked through the bar and out into the chilly little courtyard at the back where the dustbins stood.",06 Harry Potter And The Half-Blood Prince,809
Weasleys,"Tom nodded gloomily and returned to wiping glasses; Harry, Hermione, Hagrid, and the Weasleys walked through the bar and out into the chilly little courtyard at the back where the dustbins stood.",06 Harry Potter And The Half-Blood Prince,809
Bellatrix Lestrange,Bellatrix Lestrange was sneering from the front of the nearest apothecary.,06 Harry Potter And The Half-Blood Prince,810
Harry,"Harry noticed that many of the people who passed them had the same harried, anxious look as Mrs. Weasley, and that nobody was stopping to talk anymore; the shoppers stayed together in their own tightly knit groups, moving intently about their business.",06 Harry Potter And The Half-Blood Prince,819
Weasley,"Harry noticed that many of the people who passed them had the same harried, anxious look as Mrs. Weasley, and that nobody was stopping to talk anymore; the shoppers stayed together in their own tightly knit groups, moving intently about their business.",06 Harry Potter And The Half-Blood Prince,819
Draco Malfoy,"“If you’re wondering what the smell is, Mother, a Mudblood just walked in,” said Draco Malfoy.",06 Harry Potter And The Half-Blood Prince,825
Malfoy,"“Yeah, like you’d dare do magic out of school,” sneered Malfoy.",06 Harry Potter And The Half-Blood Prince,827
Narcissa Malfoy,Narcissa Malfoy strolled out from behind the clothes rack.,06 Harry Potter And The Half-Blood Prince,829
Harry,"“Put those away,” she said coldly to Harry and Ron.",06 Harry Potter And The Half-Blood Prince,830
Ron,"“Put those away,” she said coldly to Harry and Ron.",06 Harry Potter And The Half-Blood Prince,830
Narcissa Malfoy,Narcissa Malfoy smiled unpleasantly.,06 Harry Potter And The Half-Blood Prince,833
Harry,Harry looked mockingly all around the shop.,06 Harry Potter And The Half-Blood Prince,835
Harry,"“Harry, no!” moaned Hermione, grabbing his arm and attempting to push it down by his side.",06 Harry Potter And The Half-Blood Prince,839
Malfoy,"“Ouch!” bellowed Malfoy, slapping her hand away.",06 Harry Potter And The Half-Blood Prince,842
Harry,"“Bu they wouldn… dare make trouble in the middle o’ Diagon Alley, Harry.",06 Harry Potter And The Half-Blood Prince,850
Diagon Alley,"“Bu they wouldn… dare make trouble in the middle o’ Diagon Alley, Harry.",06 Harry Potter And The Half-Blood Prince,850
Fred,"Right then, we can pop in at the Apothecary and Eeylops on the way to Fred and George’s… stick close, now…”",06 Harry Potter And The Half-Blood Prince,852
George’s,"Right then, we can pop in at the Apothecary and Eeylops on the way to Fred and George’s… stick close, now…”",06 Harry Potter And The Half-Blood Prince,852
Weasley,"Then, with Mrs. Weasley checking her watch every minute or so, they headed farther along the street in search of Weasleys’ Wizard Wheezes, the joke shop run by Fred and George.",06 Harry Potter And The Half-Blood Prince,853
Fred,"Then, with Mrs. Weasley checking her watch every minute or so, they headed farther along the street in search of Weasleys’ Wizard Wheezes, the joke shop run by Fred and George.",06 Harry Potter And The Half-Blood Prince,853
George,"Then, with Mrs. Weasley checking her watch every minute or so, they headed farther along the street in search of Weasleys’ Wizard Wheezes, the joke shop run by Fred and George.",06 Harry Potter And The Half-Blood Prince,853
Harry,It was packed with customers; Harry could not get near the shelves.,06 Harry Potter And The Half-Blood Prince,860
Fred,"“Just dab it on, that bruise’ll be gone within the hour,” said Fred.",06 Harry Potter And The Half-Blood Prince,868
Harry,"Come through the back, Harry, that’s where we’re making the real money…pocket anything, you, and you’ll pay in more than Galleons!”",06 Harry Potter And The Half-Blood Prince,873
Fred,"“We’ve just developed this more serious line,” said Fred.",06 Harry Potter And The Half-Blood Prince,875
George,"“You wouldn’t believe how many people, even people who work at the Ministry, can’t do a decent Shield Charm,” said George.",06 Harry Potter And The Half-Blood Prince,876
Shield Gloves,"“So we’ve expanded into a range of Shield Cloaks, Shield Gloves…”",06 Harry Potter And The Half-Blood Prince,878
George,"“And then we thought we’d get into the whole area of Defense Against the Dark Arts, because it’s such a money spinner,” continued George enthusiastically.",06 Harry Potter And The Half-Blood Prince,880
Fred,"“And our Decoy Detonators are just walking off the shelves, look,” said Fred, pointing at a number of weirdlooking black horntype objects that were indeed attempting to scurry out of sight.",06 Harry Potter And The Half-Blood Prince,881
Weasley,"“There’s a customer out here looking for a joke cauldron, Mr. Weasley and Mr. Weasley,” she said.",06 Harry Potter And The Half-Blood Prince,884
Harry,"Harry found it very odd to hear Fred and George called “Mr. Weasley,” but they took it in their stride.",06 Harry Potter And The Half-Blood Prince,885
Fred,"Harry found it very odd to hear Fred and George called “Mr. Weasley,” but they took it in their stride.",06 Harry Potter And The Half-Blood Prince,885
