character,event_summary,book,paragraph_num,event_type,chapter_estimate
Coote,“It looked terrible and if Coote and Peakes hadn’t caught Harry he could have been very badly hurt!”,Harry Potter And The Half-Blood Prince,3138,unknown,32
Harry,"It was a small roll of parchment, which Harry recognized at once as another invitation to a lesson with Dumbledore.",Harry Potter And The Half-Blood Prince,3144,unknown,32
Dumbledore,"It was a small roll of parchment, which Harry recognized at once as another invitation to a lesson with Dumbledore.",Harry Potter And The Half-Blood Prince,3144,unknown,32
Harry,"Ron looked both sulky and annoyed when he appeared at breakfast half an hour later, and though he sat with Lavender, Harry did not see them exchange a word all the time they were together.",Harry Potter And The Half-Blood Prince,3152,unknown,32
Ron,"Ron looked both sulky and annoyed when he appeared at breakfast half an hour later, and though he sat with Lavender, Harry did not see them exchange a word all the time they were together.",Harry Potter And The Half-Blood Prince,3152,unknown,32
Harry,"Hermione was acting as though she was quite oblivious to all of this, but once or twice Harry saw an inexplicable smirk cross her face.",Harry Potter And The Half-Blood Prince,3152,unknown,32
Dumbledore,"“Listen, I’ve got to hurry or I’ll be late for Dumbledore. …”",Harry Potter And The Half-Blood Prince,3153,unknown,32
Harry,"Grinning, Harry hurried out through the portrait hole and off to the headmasters office.",Harry Potter And The Half-Blood Prince,3154,unknown,32
Harry,"“Aha!” she cried, pointing dramatically at Harry as she blinked at him through her magnifying spectacles.",Harry Potter And The Half-Blood Prince,3156,unknown,32
Dumbledore,"“So this is the reason I am to be thrown unceremoniously from your office, Dumbledore!”",Harry Potter And The Half-Blood Prince,3157,unknown,32
Trelawney,"“Very well,” said Professor Trelawney, in a deeply wounded voice.",Harry Potter And The Half-Blood Prince,3159,unknown,32
Draco Malfoy,"What with Apparition lessons and Quidditch and Ron being poisoned and getting his skull cracked and his determination to find out what Draco Malfoy was up to, Harry had almost forgotten about the memory Dumbledore had asked him to extract from Professor Slughorn.",Harry Potter And The Half-Blood Prince,3167,unknown,32
Ron,"What with Apparition lessons and Quidditch and Ron being poisoned and getting his skull cracked and his determination to find out what Draco Malfoy was up to, Harry had almost forgotten about the memory Dumbledore had asked him to extract from Professor Slughorn.",Harry Potter And The Half-Blood Prince,3167,unknown,32
Slughorn,"What with Apparition lessons and Quidditch and Ron being poisoned and getting his skull cracked and his determination to find out what Draco Malfoy was up to, Harry had almost forgotten about the memory Dumbledore had asked him to extract from Professor Slughorn.",Harry Potter And The Half-Blood Prince,3167,unknown,32
Dumbledore,"What with Apparition lessons and Quidditch and Ron being poisoned and getting his skull cracked and his determination to find out what Draco Malfoy was up to, Harry had almost forgotten about the memory Dumbledore had asked him to extract from Professor Slughorn.",Harry Potter And The Half-Blood Prince,3167,unknown,32
Harry,"What with Apparition lessons and Quidditch and Ron being poisoned and getting his skull cracked and his determination to find out what Draco Malfoy was up to, Harry had almost forgotten about the memory Dumbledore had asked him to extract from Professor Slughorn.",Harry Potter And The Half-Blood Prince,3167,unknown,32
Quidditch,"What with Apparition lessons and Quidditch and Ron being poisoned and getting his skull cracked and his determination to find out what Draco Malfoy was up to, Harry had almost forgotten about the memory Dumbledore had asked him to extract from Professor Slughorn.",Harry Potter And The Half-Blood Prince,3167,unknown,32
Harry’S,"A hot, prickly feeling of shame spread from the top of Harry’s head all the way down his body.",Harry Potter And The Half-Blood Prince,3170,unknown,32
Harry,"“Thank you for saying that, Harry,” said Dumbledore quietly.",Harry Potter And The Half-Blood Prince,3174,unknown,32
Dumbledore,"“Very good,” said Dumbledore.",Harry Potter And The Half-Blood Prince,3178,unknown,32
Hogwarts,"In fact, I doubt whether there is a soul alive, apart from himself, who could give us a full account of his life since he left Hogwarts.",Harry Potter And The Half-Blood Prince,3180,unknown,32
Harry,"The idea that Dumbledore valued his opinion this highly made Harry feel even more deeply ashamed that he had failed in the task of retrieving the Horcrux memory, and he shifted guiltily in his seat as Dumbledore raised the first of the two bottles to the light and examined it.",Harry Potter And The Half-Blood Prince,3181,unknown,32
Dumbledore,"The idea that Dumbledore valued his opinion this highly made Harry feel even more deeply ashamed that he had failed in the task of retrieving the Horcrux memory, and he shifted guiltily in his seat as Dumbledore raised the first of the two bottles to the light and examined it.",Harry Potter And The Half-Blood Prince,3181,unknown,32
Voldemort,"Before we see what Hokey witnessed, I must quickly recount how Lord Voldemort left Hogwarts.",Harry Potter And The Half-Blood Prince,3182,unknown,32
Hogwarts,"Before we see what Hokey witnessed, I must quickly recount how Lord Voldemort left Hogwarts.",Harry Potter And The Half-Blood Prince,3182,unknown,32
Hogwarts,"All around him, his classmates were deciding which jobs they were to pursue once they had left Hogwarts.",Harry Potter And The Half-Blood Prince,3183,unknown,32
Tom Riddle,"Nearly everybody expected spectacular things from Tom Riddle, prefect, Head Boy, winner of the Award for Special Services to the School.",Harry Potter And The Half-Blood Prince,3183,unknown,32
Head Boy,"Nearly everybody expected spectacular things from Tom Riddle, prefect, Head Boy, winner of the Award for Special Services to the School.",Harry Potter And The Half-Blood Prince,3183,unknown,32
Slughorn,"I know that several teachers, Professor Slughorn amongst them, suggested that he join the Ministry of Magic, offered to set up appointments, put him in touch with useful contacts.",Harry Potter And The Half-Blood Prince,3183,unknown,32
Burkes,"The next thing the staff knew, Voldemort was working at Borgin and Burkes.”",Harry Potter And The Half-Blood Prince,3183,unknown,32
Borgin,"The next thing the staff knew, Voldemort was working at Borgin and Burkes.”",Harry Potter And The Half-Blood Prince,3183,unknown,32
Burkes,"“At Borgin and Burkes,” repeated Dumbledore calmly.",Harry Potter And The Half-Blood Prince,3184,unknown,32
Dumbledore,"“At Borgin and Burkes,” repeated Dumbledore calmly.",Harry Potter And The Half-Blood Prince,3184,unknown,32
Borgin,"“At Borgin and Burkes,” repeated Dumbledore calmly.",Harry Potter And The Half-Blood Prince,3184,unknown,32
Slughorn,"Perhaps he had gained the idea from Professor Slughorn, the teacher with whom he was on best terms, who had demonstrated how influential a role a teacher can play.",Harry Potter And The Half-Blood Prince,3189,unknown,32
Hogwarts,"I do not imagine for an instant that Voldemort envisaged spending the rest of his life at Hogwarts, but I do think that he saw it as a useful recruiting ground, and a place where he might begin to build himself an army.”",Harry Potter And The Half-Blood Prince,3189,unknown,32
Dippet,"Professor Dippet told him that he was too young at eighteen, but invited him to reapply in a few years, if he still wished to teach.”",Harry Potter And The Half-Blood Prince,3190,unknown,32
Voldemort,"But I did not want Lord Voldemort back at this school, and especially not in a position of power.”",Harry Potter And The Half-Blood Prince,3191,unknown,32
Harry,"Somehow, Harry knew the answer even before Dumbledore gave it.",Harry Potter And The Half-Blood Prince,3193,unknown,32
Dumbledore,"Somehow, Harry knew the answer even before Dumbledore gave it.",Harry Potter And The Half-Blood Prince,3193,unknown,32
Voldemort,"However, Voldemort was no mere assistant.",Harry Potter And The Half-Blood Prince,3195,unknown,32
Harry,"Polite and handsome and clever, he was soon given particular jobs of the type that only exist in a place like Borgin and Burkes, which specializes, as you know, Harry, in objects with unusual and powerful properties.",Harry Potter And The Half-Blood Prince,3195,unknown,32
Burkes,"Polite and handsome and clever, he was soon given particular jobs of the type that only exist in a place like Borgin and Burkes, which specializes, as you know, Harry, in objects with unusual and powerful properties.",Harry Potter And The Half-Blood Prince,3195,unknown,32
Borgin,"Polite and handsome and clever, he was soon given particular jobs of the type that only exist in a place like Borgin and Burkes, which specializes, as you know, Harry, in objects with unusual and powerful properties.",Harry Potter And The Half-Blood Prince,3195,unknown,32
Harry,"“I’ll bet he was,” said Harry, unable to contain himself.",Harry Potter And The Half-Blood Prince,3196,unknown,32
Hepzibah Smith,"“And now it is time to hear from Hokey the houseelf, who worked for a very old, very rich witch by the name of Hepzibah Smith.”",Harry Potter And The Half-Blood Prince,3197,unknown,32
Harry,"Harry could only assume that it was down in Hokey’s contract that she must lie through her teeth when asked this question, because Hepzibah Smith looked a long way from lovely in his opinion.",Harry Potter And The Half-Blood Prince,3203,unknown,33
Hepzibah Smith,"Harry could only assume that it was down in Hokey’s contract that she must lie through her teeth when asked this question, because Hepzibah Smith looked a long way from lovely in his opinion.",Harry Potter And The Half-Blood Prince,3203,unknown,33
Harry,"The houseelf returned within minutes, followed by a tall young man Harry had no difficulty whatsoever in recognizing as Voldemort.",Harry Potter And The Half-Blood Prince,3206,unknown,33
Harry,"“You naughty boy, you shouldn’t have!” squealed old Hepzibah, though Harry noticed that she had an empty vase standing ready on the nearest little table.",Harry Potter And The Half-Blood Prince,3208,unknown,33
Burke,"“Mr. Burke would like to make an improved offer for the goblinmade armor,” said Voldemort.",Harry Potter And The Half-Blood Prince,3213,unknown,33
Burke,Mr. Burke wishes me to inquire —”,Harry Potter And The Half-Blood Prince,3215,unknown,33
Burke,"“Oh, Mr. Burke, phooey!” said Hepzibah, waving a little hand.",Harry Potter And The Half-Blood Prince,3216,unknown,33
Burke,“I’ve something to show you that I’ve never shown Mr. Burke!,Harry Potter And The Half-Blood Prince,3216,unknown,33
Riddle,I want to show Mr. Riddle our finest treasure.,Harry Potter And The Half-Blood Prince,3218,unknown,33
Tom,"“So there you are, Tom, clear, and I hope you enjoyed that!”",Harry Potter And The Half-Blood Prince,3236,unknown,33
Dumbledore,"“Yes, that is my conclusion too,” said Dumbledore.",Harry Potter And The Half-Blood Prince,3244,unknown,33
Hokey,"“And, just as with Morfin, the Ministry was predisposed to suspect Hokey —”",Harry Potter And The Half-Blood Prince,3244,unknown,33
Tom Riddle,And that was the last that was seen or heard of Tom Riddle for a very long time.,Harry Potter And The Half-Blood Prince,3246,unknown,33
Harry,"“Now,” said Dumbledore, “if you don’t mind, Harry, I want to pause once more to draw your attention to certain points of our story.",Harry Potter And The Half-Blood Prince,3247,unknown,33
Dumbledore,"“Now,” said Dumbledore, “if you don’t mind, Harry, I want to pause once more to draw your attention to certain points of our story.",Harry Potter And The Half-Blood Prince,3247,unknown,33
Riddles,"Voldemort had committed another murder; whether it was his first since he killed the Riddles, I do not know, but I think it was.",Harry Potter And The Half-Blood Prince,3247,unknown,33
Voldemort,"Voldemort had committed another murder; whether it was his first since he killed the Riddles, I do not know, but I think it was.",Harry Potter And The Half-Blood Prince,3247,unknown,33
Harry,"And Harry dived after Dumbledore through the shifting silver mass, landing in the very office he had just left.",Harry Potter And The Half-Blood Prince,3253,unknown,33
Dumbledore,"And Harry dived after Dumbledore through the shifting silver mass, landing in the very office he had just left.",Harry Potter And The Half-Blood Prince,3253,unknown,33
Dumbledore,"The younger Dumbledore seemed to be waiting for something, and sure enough, moments after their arrival, there was a knock on the door and he said, “Enter.”",Harry Potter And The Half-Blood Prince,3254,unknown,33
Harry,Harry let out a hastily stifled gasp.,Harry Potter And The Half-Blood Prince,3255,unknown,33
Voldemort,Voldemort had entered the room.,Harry Potter And The Half-Blood Prince,3255,unknown,33
Dumbledore,The Dumbledore behind the desk showed no sign of surprise.,Harry Potter And The Half-Blood Prince,3256,unknown,33
Harry,"Nevertheless, Harry felt the atmosphere in the room change subtly: Dumbledore’s refusal to use Voldemort’s chosen name was a refusal to allow Voldemort to dictate the terms of the meeting, and Harry could tell that Voldemort took it as such.",Harry Potter And The Half-Blood Prince,3265,unknown,33
Dumbledore,"Dumbledore did not break the silence that stretched between them now, but waited, with a look of pleasant expectancy, for Voldemort to talk first.",Harry Potter And The Half-Blood Prince,3270,unknown,33
Dumbledore,"You must know this, Dumbledore.”",Harry Potter And The Half-Blood Prince,3274,unknown,33
Hogwarts,"“Well, then, what better place to start my fresh researches than here, at Hogwarts?” said Voldemort.",Harry Potter And The Half-Blood Prince,3281,unknown,33
Rosier,"“Then if I were to go to the Hog’s Head tonight, I would not find a group of them — Nott, Rosier, Muldber, Dolohov — awaiting your return?",Harry Potter And The Half-Blood Prince,3286,unknown,33
Muldber,"“Then if I were to go to the Hog’s Head tonight, I would not find a group of them — Nott, Rosier, Muldber, Dolohov — awaiting your return?",Harry Potter And The Half-Blood Prince,3286,unknown,33
Dolohov,"“Then if I were to go to the Hog’s Head tonight, I would not find a group of them — Nott, Rosier, Muldber, Dolohov — awaiting your return?",Harry Potter And The Half-Blood Prince,3286,unknown,33
Dumbledore,"“Oh no, merely friendly with the local barmen,” said Dumbledore lightly.",Harry Potter And The Half-Blood Prince,3288,unknown,33
Tom,"What is it you’re after, Tom?",Harry Potter And The Half-Blood Prince,3292,unknown,33
Dumbledore,"“No, nothing,” said Dumbledore, and a great sadness filled his face.",Harry Potter And The Half-Blood Prince,3296,unknown,33
Dumbledore,"“Oh, he definitely wanted the Defense Against the Dark Arts job,” said Dumbledore.",Harry Potter And The Half-Blood Prince,3305,unknown,34
Hermione,"“You won’t find anything in there,” said Hermione firmly, late on Sunday evening.",Harry Potter And The Half-Blood Prince,3307,unknown,34
Ron,"“If it hadn’t been for the Prince, Ron wouldn’t be sitting here now.”",Harry Potter And The Half-Blood Prince,3308,unknown,34
Harry,"Hermione, who had now achieved Apparition twice, was a little more confident, but Harry, who would not be seventeen for another four months, could not take the test whether ready or not.",Harry Potter And The Half-Blood Prince,3311,unknown,34
Harry,"Having wasted a lot of time worrying aloud about Apparition, Ron was now struggling to finish a viciously difficult essay for Snape that Harry and Hermione had already completed.",Harry Potter And The Half-Blood Prince,3314,unknown,34
Hermione,"Having wasted a lot of time worrying aloud about Apparition, Ron was now struggling to finish a viciously difficult essay for Snape that Harry and Hermione had already completed.",Harry Potter And The Half-Blood Prince,3314,unknown,34
Ron,"Having wasted a lot of time worrying aloud about Apparition, Ron was now struggling to finish a viciously difficult essay for Snape that Harry and Hermione had already completed.",Harry Potter And The Half-Blood Prince,3314,unknown,34
Harry,"Harry fully expected to receive low marks on his, because he had disagreed with Snape on the best way to tackle dementors, but he did not care: Slughorns memory was the most important thing to him now.",Harry Potter And The Half-Blood Prince,3314,unknown,34
Dumbledorf,"Dumbledorf says Veritaserum won’t do it, but there might be something else, a potion or a spell. . . .”",Harry Potter And The Half-Blood Prince,3316,unknown,34
Dumbledore,"“Only you can get the memory, Dumbledore says.",Harry Potter And The Half-Blood Prince,3317,unknown,34
Hermione,"“Yes, it must,” said Hermione, pointing at the title of his essay, “because we were asked how we’d deal with dementors, not ‘Dugbogs’, and I don’t remember you changing your name to ‘Roonil Wazlib’ either.”",Harry Potter And The Half-Blood Prince,3321,unknown,34
Ron,"“Ah no!” said Ron, staring horrorstruck at the parchment.",Harry Potter And The Half-Blood Prince,3322,unknown,34
Harry,"Harry, who had found nothing useful in the HalfBlood Prince’s notes so far, looked around; the three of them were now the only ones left in the common room, Seamus having just gone up to bed cursing Snape and his essay.",Harry Potter And The Half-Blood Prince,3330,unknown,34
Harry,"Harry had just closed the HalfBlood Prince’s book, yawning, when —",Harry Potter And The Half-Blood Prince,3330,unknown,34
Harry,"Hermione let out a little shriek; Ron spilled ink all over his freshly completed essay, and Harry said, “Kreacher!”",Harry Potter And The Half-Blood Prince,3331,unknown,34
Ron,"Hermione let out a little shriek; Ron spilled ink all over his freshly completed essay, and Harry said, “Kreacher!”",Harry Potter And The Half-Blood Prince,3331,unknown,34
Malfoy,"“Master said he wanted regular reports on what the Malfoy boy is doing, so Kreacher has come to give–“",Harry Potter And The Half-Blood Prince,3332,unknown,34
Harry Potter,“And Kreacher ought to tell Dobby when he is coming to see Harry Potter so they can make their reports together!”,Harry Potter And The Half-Blood Prince,3333,unknown,34
Dobby,“And Kreacher ought to tell Dobby when he is coming to see Harry Potter so they can make their reports together!”,Harry Potter And The Half-Blood Prince,3333,unknown,34
Harry Potter,"“Thank you, Harry Potter,” he panted.",Harry Potter And The Half-Blood Prince,3341,unknown,34
Malfoy,"Kreacher bowed again, looking furious, and then said, “Master Malfoy eats in the Great Hall, he sleeps in a dormitory in the dungeons, he attends his classes in a variety of—”",Harry Potter And The Half-Blood Prince,3343,unknown,34
Harry,"“Dobby, have you managed to get in to have a look at what Malfoy’s doing?” said Harry eagerly.",Harry Potter And The Half-Blood Prince,3349,unknown,34
Malfoy’S,"“Dobby, have you managed to get in to have a look at what Malfoy’s doing?” said Harry eagerly.",Harry Potter And The Half-Blood Prince,3349,unknown,34
Malfoy,"“Malfoy got into our headquarters there last year, so I’ll be able to get in and spy on him, no problem.”",Harry Potter And The Half-Blood Prince,3351,unknown,34
Malfoy,"“Malfoy already knew exactly how we were using the room, didn’t he, because that stupid Marietta had blabbed.",Harry Potter And The Half-Blood Prince,3352,unknown,34
Harry,"“Get out of it,” Harry snapped at him, and Kreacher made one last deep bow and Disapparated.",Harry Potter And The Half-Blood Prince,3355,unknown,34
Malfoy,“We know where Malfoy’s going!,Harry Potter And The Half-Blood Prince,3357,unknown,34
Malfoy,He stole some of the Polyjuice Potion Slughorn showed us in our first Potions lesson… There aren’t a whole variety of students standing guard for Malfoy… it’s just Crabbe and Goyle as usual.,Harry Potter And The Half-Blood Prince,3361,unknown,34
Harry,"“Well, they wouldn’t, would they, if he’s shown them his Dark Mark?” said Harry.",Harry Potter And The Half-Blood Prince,3365,unknown,34
Dark Mark,"“Well, they wouldn’t, would they, if he’s shown them his Dark Mark?” said Harry.",Harry Potter And The Half-Blood Prince,3365,unknown,34
Hermione,"“Hmmm… the Dark Mark we don’t know exists,” said Hermione skeptically, rolling up Ron’s dried essay before it could come to any more harm and handing it to him.",Harry Potter And The Half-Blood Prince,3366,unknown,34
Ron,"“Hmmm… the Dark Mark we don’t know exists,” said Hermione skeptically, rolling up Ron’s dried essay before it could come to any more harm and handing it to him.",Harry Potter And The Half-Blood Prince,3366,unknown,34
Ron,"“Wish I could Disapparate like a houseelf,” said Ron, staring at the spot where Dobby had vanished.",Harry Potter And The Half-Blood Prince,3369,unknown,34
Harry,"Hermione was rather ostentatiously showing no interest in his whispered plans for forcing entry into the room, which irritated Harry, because he thought she might be a lot of help if she wanted to.",Harry Potter And The Half-Blood Prince,3371,unknown,34
Malfoy’S,"“I haven’t forgotten about Slughorn, but I haven’t got a clue how to get that memory off him, and until I get a brain wave why shouldn’t I find out what Malfoy’s doing?”",Harry Potter And The Half-Blood Prince,3372,unknown,34
Hermione,"“I’ve already told you, you need to persuade Slughorn,” said Hermione.",Harry Potter And The Half-Blood Prince,3373,unknown,34
Prophet,Instead of messing around outside the Room of Requirement” — she jerked the Prophet out from under Harrys hand and unfolded it to look at the front page — “you should go and find Slughorn and start appealing to his better nature.”,Harry Potter And The Half-Blood Prince,3373,unknown,34
Ron,"“Anyone we know — ?” asked Ron, as Hermione scanned the headlines.",Harry Potter And The Half-Blood Prince,3374,unknown,34
Harry,"Hermione set off immediately for Ancient Runes; Ron for the common room, where he still had to finish his conclusion on Snape’s dementor essay, and Harry for the corridor on the seventh floor and the stretch of wall opposite the tapestry of Barnabas the Barmy teaching trolls to do ballet.",Harry Potter And The Half-Blood Prince,3376,unknown,34
Ron,"Hermione set off immediately for Ancient Runes; Ron for the common room, where he still had to finish his conclusion on Snape’s dementor essay, and Harry for the corridor on the seventh floor and the stretch of wall opposite the tapestry of Barnabas the Barmy teaching trolls to do ballet.",Harry Potter And The Half-Blood Prince,3376,unknown,34
Harry,"Harry was not sure whether his chances of getting inside the room were better with Malfoy inside it or out, but at least his first attempt was not going to be complicated by the presence of Crabbe or Goyle pretending to be an elevenyearold girl.",Harry Potter And The Half-Blood Prince,3377,unknown,34
Malfoy,"Harry was not sure whether his chances of getting inside the room were better with Malfoy inside it or out, but at least his first attempt was not going to be complicated by the presence of Crabbe or Goyle pretending to be an elevenyearold girl.",Harry Potter And The Half-Blood Prince,3377,unknown,34
Malfoy’S,"Concentrating with all his might he thought, “I need to see what Malfoy’s doing in here… I need to see what Malfoy’s doing in here… I need to see what Malfoy’s doing in here…”",Harry Potter And The Half-Blood Prince,3378,unknown,34
Harry,"Harry tried every variation of “I need to see what Draco Malfoy is doing inside you” that he could think of for a whole hour, at the end of which he was forced to concede that Hermione might have had a point: The room simply did not want to open for him.",Harry Potter And The Half-Blood Prince,3384,unknown,34
Draco Malfoy,"Harry tried every variation of “I need to see what Draco Malfoy is doing inside you” that he could think of for a whole hour, at the end of which he was forced to concede that Hermione might have had a point: The room simply did not want to open for him.",Harry Potter And The Half-Blood Prince,3384,unknown,34
Potter,"“Late again, Potter,” said Snape coldly, as Harry hurried into the candlelit classroom.",Harry Potter And The Half-Blood Prince,3385,unknown,34
Harry,"“Late again, Potter,” said Snape coldly, as Harry hurried into the candlelit classroom.",Harry Potter And The Half-Blood Prince,3385,unknown,34
Finnigan,"Now, if you will all open your books to page — what is it, Mr. Finnigan?”",Harry Potter And The Half-Blood Prince,3386,unknown,34
Finnigan,"“If you had actually read the article in question, Mr. Finnigan, you would have known that the socalled Inferius was nothing but a smelly sneak thief by the name of Mundungus Fletcher.”",Harry Potter And The Half-Blood Prince,3388,unknown,34
Potter,“Let us ask Potter how we would tell the difference between an Inferius and a ghost.”,Harry Potter And The Half-Blood Prince,3390,unknown,34
Potter,"“Yes, it in easy to see that nearly six years of magical education have not been wasted on you, Potter.",Harry Potter And The Half-Blood Prince,3392,unknown,34
Harry,"Harry took a deep breath and continued calmly, though his insides were boiling, “Yeah, ghosts are transparent, but Inferi are dead bodies, aren’t they?",Harry Potter And The Half-Blood Prince,3393,unknown,34
Potter,"A ghost, as I trust that you are all aware by now, is the imprint of a departed soul left upon the earth, and of course, as Potter so wisely tells us, transparent. “",Harry Potter And The Half-Blood Prince,3394,unknown,34
Harry,"“Well, what Harry said is the most useful if we’re trying to tell them apart!” said Ron.",Harry Potter And The Half-Blood Prince,3395,unknown,34
Ron,"“Well, what Harry said is the most useful if we’re trying to tell them apart!” said Ron.",Harry Potter And The Half-Blood Prince,3395,unknown,34
Ron,Ron was very subdued all through the class.,Harry Potter And The Half-Blood Prince,3399,unknown,34
Harry,"“You might as well do the extra practice sessions in Hogsmeade and see where they get you,” said Harry reasonably.",Harry Potter And The Half-Blood Prince,3401,unknown,35
Myrtle,"“No,” said Myrtle defiantly, her voice echoing loudly around the old tiled bathroom.",Harry Potter And The Half-Blood Prince,3409,unknown,35
Harry,“There’s been a boy in here crying?” said Harry curiously.,Harry Potter And The Half-Blood Prince,3410,unknown,35
Hermione,"And so the following weekend, Ron joined Hermione and the rest of the sixth years who would turn seventeen in time to take the test in a fortnight.",Harry Potter And The Half-Blood Prince,3413,unknown,35
Ron,"And so the following weekend, Ron joined Hermione and the rest of the sixth years who would turn seventeen in time to take the test in a fortnight.",Harry Potter And The Half-Blood Prince,3413,unknown,35
Harry,"He had lagged behind after every Potions lesson that week in an attempt to corner Slughorn, but the Potions master always left the dungeon so fast that Harry had not been able to catch him.",Harry Potter And The Half-Blood Prince,3415,unknown,35
Harry,"Twice, Harry had gone to his office and knocked, but received no reply, though on the second occasion he was sure he had heard the quickly stifled sounds of an old gramophone.",Harry Potter And The Half-Blood Prince,3415,unknown,35
Harry,"The short queue of people waiting to file past Filch, who was doing his usual prodding act with the Secrecy Sensor, moved forward a few steps and Harry did not answer in case he was overheard by the caretaker.",Harry Potter And The Half-Blood Prince,3418,unknown,35
Filch,"The short queue of people waiting to file past Filch, who was doing his usual prodding act with the Secrecy Sensor, moved forward a few steps and Harry did not answer in case he was overheard by the caretaker.",Harry Potter And The Half-Blood Prince,3418,unknown,35
Hermione,"He wished Ron and Hermione both luck, then turned and climbed the marble staircase again, determined, whatever Hermione said, to devote an hour or two to the Room of Requirement.",Harry Potter And The Half-Blood Prince,3418,unknown,35
Ron,"He wished Ron and Hermione both luck, then turned and climbed the marble staircase again, determined, whatever Hermione said, to devote an hour or two to the Room of Requirement.",Harry Potter And The Half-Blood Prince,3418,unknown,35
Harry,"Once out of sight of the entrance hall, Harry pulled the Marauder’s Map and his Invisibility Cloak from his bag.",Harry Potter And The Half-Blood Prince,3419,unknown,35
Gregory Goyle,"There were a few people out in the grounds, and there, alone in the seventhfloor corridor, was Gregory Goyle.",Harry Potter And The Half-Blood Prince,3420,unknown,35
Harry,"Laughing, Harry turned to contemplate the blank wall behind which, he was sure, Draco Malfoy was now standing frozen, aware that someone unwelcome was out there, but not daring to make an appearance.",Harry Potter And The Half-Blood Prince,3421,unknown,35
Draco Malfoy,"Laughing, Harry turned to contemplate the blank wall behind which, he was sure, Draco Malfoy was now standing frozen, aware that someone unwelcome was out there, but not daring to make an appearance.",Harry Potter And The Half-Blood Prince,3421,unknown,35
Harry,It gave Harry a most agreeable feeling of power as he tried to remember what form of words he had not yet tried.,Harry Potter And The Half-Blood Prince,3421,unknown,35
Malfoy,"Half an hour later, having tried many more variations of his request to see what Malfoy was up to, the wall was just as doorless as ever.",Harry Potter And The Half-Blood Prince,3422,unknown,35
Harry,"Harry thought she looked terrible: thinner than usual, her mousecolored hair lank.",Harry Potter And The Half-Blood Prince,3426,unknown,35
Harry,"“No one from the Order writes to me anymore,” said Harry, “not since Sirius —“ He saw that her eyes had filled with tears.",Harry Potter And The Half-Blood Prince,3433,unknown,35
Order,"“No one from the Order writes to me anymore,” said Harry, “not since Sirius —“ He saw that her eyes had filled with tears.",Harry Potter And The Half-Blood Prince,3433,unknown,35
Apparating,“I was supposed to be Apparating to outside Madam Puddifoots Tea Shop,Harry Potter And The Half-Blood Prince,3438,unknown,35
Harry,"“I dunno,” said Harry, shrugging, “but she was nearly crying when I mentioned his name, and her Patronus is a big fourlegged thing now.",Harry Potter And The Half-Blood Prince,3447,unknown,35
Ron,"“Goes back to what I said, doesn’t it?” said Ron, who was now shoveling mashed potato into his mouth.",Harry Potter And The Half-Blood Prince,3449,unknown,35
Harry,"Patches of bright blue sky were beginning to appear over the castle turrets, but these signs of approaching summer did not lift Harry’s mood.",Harry Potter And The Half-Blood Prince,3451,unknown,35
Malfoy,"He had been thwarted, both in his attempts to find out what Malfoy was doing, and in his efforts to start a conversation with Slughorn that might lead, somehow, to Slughorn handing over the memory he had apparently suppressed for decades.",Harry Potter And The Half-Blood Prince,3451,unknown,35
Harry’S,Harry’s heart sank as he took the small scroll of parchment.,Harry Potter And The Half-Blood Prince,3456,unknown,35
Harry,"Harry and Ron, you met him and you know how special he was.",Harry Potter And The Half-Blood Prince,3458,unknown,35
Ron,"Harry and Ron, you met him and you know how special he was.",Harry Potter And The Half-Blood Prince,3458,unknown,35
Ron,"“— I’d want to go even less,” said Ron firmly.",Harry Potter And The Half-Blood Prince,3463,unknown,35
Harry,Harry took the note back and stared down at all the inky blotches all over it.,Harry Potter And The Half-Blood Prince,3464,unknown,35
Harry,"“What on earth is more important than this memory, Harry?” asked Hermione.",Harry Potter And The Half-Blood Prince,3472,unknown,35
Hermione,"“What on earth is more important than this memory, Harry?” asked Hermione.",Harry Potter And The Half-Blood Prince,3472,unknown,35
Ron,"“They sometimes kill,” said Ron, who looked unusually grave now.",Harry Potter And The Half-Blood Prince,3483,unknown,35
Harry,"“Harry, you’ve got to get that memory,” she said.",Harry Potter And The Half-Blood Prince,3487,unknown,35
Harry,"“You’ll do fine,” Harry told them both, as they headed toward the entrance hall to meet the rest of the people taking their Apparition Test.",Harry Potter And The Half-Blood Prince,3489,unknown,35
Harry,"Harry, Ernie, and Draco Malfoy.",Harry Potter And The Half-Blood Prince,3491,unknown,35
Ernie,"Harry, Ernie, and Draco Malfoy.",Harry Potter And The Half-Blood Prince,3491,unknown,35
Harry,"Undoubtedly, Harry thought, watching him over the top of his own book, Malfoy was begrudging the time he could otherwise be spending in the Room of Requirement.",Harry Potter And The Half-Blood Prince,3495,unknown,35
Malfoy,"Undoubtedly, Harry thought, watching him over the top of his own book, Malfoy was begrudging the time he could otherwise be spending in the Room of Requirement.",Harry Potter And The Half-Blood Prince,3495,unknown,35
Harry,"There could be only one conclusion, in Harry’s opinion: The mission, whatever it was, was going badly.",Harry Potter And The Half-Blood Prince,3496,unknown,35
