character,event_summary,book,paragraph_num,event_type,chapter_estimate,entities_mentioned
Harry,Harry knew Snape was thinking of their disastrous Occlumency lessons of the previous year.,Harry Potter And The Half-Blood Prince,1338,other,14,"Harry, Snape"
Harry,"Although Snape did not know it, Harry had taught at least half the class (everyone who had been a member of the D.A.) how to perform a Shield Charm the previous year.",Harry Potter And The Half-Blood Prince,1340,magic,14,"Snape, Harry, D.A."
Harry,"He swept between them as they practiced, looking just as much like an overgrown bat as ever, lingering to watch Harry and Ron struggling with the task.",Harry Potter And The Half-Blood Prince,1340,other,14,"Harry, Ron"
Ron,"He swept between them as they practiced, looking just as much like an overgrown bat as ever, lingering to watch Harry and Ron struggling with the task.",Harry Potter And The Half-Blood Prince,1340,other,14,"Harry, Ron"
Harry,"Ron, who was supposed to be jinxing Harry, was purple in the face, his lips tightly compressed to save himself from the temptation of muttering the incantation.",Harry Potter And The Half-Blood Prince,1341,other,14,"Ron, Harry"
Ron,"Ron, who was supposed to be jinxing Harry, was purple in the face, his lips tightly compressed to save himself from the temptation of muttering the incantation.",Harry Potter And The Half-Blood Prince,1341,other,14,"Ron, Harry"
Shield Charm,His Shield Charm was so strong Snape was knocked offbalance and hit a desk.,Harry Potter And The Half-Blood Prince,1344,magic,14,"Shield Charm, Snape"
Potter,"“Do you remember me telling you we are practicing nonverbal spells, Potter?”",Harry Potter And The Half-Blood Prince,1345,magic,14,Potter
Potter,"“I do not take cheek from anyone, Potter . . .",Harry Potter And The Half-Blood Prince,1347,other,14,Potter
Harry,"“That was brilliant, Harry!” chortled Ron, once they were safely on their way to break a short while later.",Harry Potter And The Half-Blood Prince,1348,other,14,"Harry, Ron"
Ron,"“That was brilliant, Harry!” chortled Ron, once they were safely on their way to break a short while later.",Harry Potter And The Half-Blood Prince,1348,other,14,"Harry, Ron"
Dumbledore,"What’s Dumbledore playing at, anyway, letting him teach Defense?",Harry Potter And The Half-Blood Prince,1350,other,14,Defense
Harry,Harry was so disarmed that she had thought his words as well worth memorizing as The Standard Book of Spells that he did not argue.,Harry Potter And The Half-Blood Prince,1353,magic,14,"Harry, Spells"
Harry,"“I’m not sure yet,” said Harry, thinking privately that Sloper would be very lucky to get back on the team.",Harry Potter And The Half-Blood Prince,1356,dialogue,14,"Harry, Sloper"
Sloper,"“I’m not sure yet,” said Harry, thinking privately that Sloper would be very lucky to get back on the team.",Harry Potter And The Half-Blood Prince,1356,dialogue,14,"Harry, Sloper"
Harry,"“It’s the password to get past the gargoyle outside his study,” said Harry in a low voice.",Harry Potter And The Half-Blood Prince,1360,dialogue,14,Harry
Dumbledore,"He, Ron, and Hermione spent the whole of break speculating on what Dumbledore would teach Harry.",Harry Potter And The Half-Blood Prince,1361,other,14,"Ron, Hermione, Dumbledore, Harry"
Harry,"He, Ron, and Hermione spent the whole of break speculating on what Dumbledore would teach Harry.",Harry Potter And The Half-Blood Prince,1361,other,14,"Ron, Hermione, Dumbledore, Harry"
Ron,"He, Ron, and Hermione spent the whole of break speculating on what Dumbledore would teach Harry.",Harry Potter And The Half-Blood Prince,1361,other,14,"Ron, Hermione, Dumbledore, Harry"
Ron,Ron thought it most likely to be spectacular jinxes and hexes of the type the Death Eaters would not know.,Harry Potter And The Half-Blood Prince,1361,death,14,"Ron, the Death Eaters"
Harry,"Hermione said such things were illegal, and thought it much more likely that Dumbledore wanted to teach Harry advanced Defensive magic.",Harry Potter And The Half-Blood Prince,1361,dialogue,14,"Hermione, Dumbledore, Harry"
Dumbledore,"Hermione said such things were illegal, and thought it much more likely that Dumbledore wanted to teach Harry advanced Defensive magic.",Harry Potter And The Half-Blood Prince,1361,dialogue,14,"Hermione, Dumbledore, Harry"
Harry,"After break, she went off to Arithmancy while Harry and Ron returned to the common room where they grudgingly started Snape’s homework.",Harry Potter And The Half-Blood Prince,1361,movement,14,"Arithmancy, Harry, Ron, Snape"
Ron,"After break, she went off to Arithmancy while Harry and Ron returned to the common room where they grudgingly started Snape’s homework.",Harry Potter And The Half-Blood Prince,1361,movement,14,"Arithmancy, Harry, Ron, Snape"
Harry,"Four Ravenclaws were there, and one Hufflepuff, Ernie Macmillan, whom Harry liked despite his rather pompous manner.",Harry Potter And The Half-Blood Prince,1362,other,14,"Hufflepuff, Ernie Macmillan, Harry"
Ernie Macmillan,"Four Ravenclaws were there, and one Hufflepuff, Ernie Macmillan, whom Harry liked despite his rather pompous manner.",Harry Potter And The Half-Blood Prince,1362,other,14,"Hufflepuff, Ernie Macmillan, Harry"
Libatius Borage,"Slughorn strode over to a corner cupboard and, after a moment’s foraging, emerged with two very batteredlooking copies of Advanced PotionMaking by Libatius Borage, which he gave to Harry and Ron along with two sets of tarnished scales.",Harry Potter And The Half-Blood Prince,1369,magic,14,"Advanced PotionMaking, Libatius Borage, Harry, Ron"
Harry,"Slughorn strode over to a corner cupboard and, after a moment’s foraging, emerged with two very batteredlooking copies of Advanced PotionMaking by Libatius Borage, which he gave to Harry and Ron along with two sets of tarnished scales.",Harry Potter And The Half-Blood Prince,1369,magic,14,"Advanced PotionMaking, Libatius Borage, Harry, Ron"
Ron,"Slughorn strode over to a corner cupboard and, after a moment’s foraging, emerged with two very batteredlooking copies of Advanced PotionMaking by Libatius Borage, which he gave to Harry and Ron along with two sets of tarnished scales.",Harry Potter And The Half-Blood Prince,1369,magic,14,"Advanced PotionMaking, Libatius Borage, Harry, Ron"
Hermione,"“It’s Veritaserum, a colorless, odorless potion thar forces the drinker to tell the truth,” said Hermione.",Harry Potter And The Half-Blood Prince,1373,dialogue,14,Hermione
Featured,Featured in a few Ministry leaflets lately too… Who can - ?”,Harry Potter And The Half-Blood Prince,1374,other,14,
Harry,"Harry too had recognized the slowbubbling, mudlike substance the second cauldron, but did not resent Hermione getting the credit for answering the question; she, after all, was the one who had succeeded in making it, back in their second year.",Harry Potter And The Half-Blood Prince,1375,other,14,Harry
Hector Dagworthgranger,"Can you possibly be related to Hector DagworthGranger, who founded the Most Extraordinary Society of Potioneers?”",Harry Potter And The Half-Blood Prince,1382,discovery,14,"Hector DagworthGranger, the Most Extraordinary Society of Potioneers"
Granger,"“Well, well, take twenty wellearned points for Gryffindor, Miss Granger,” said Slughorn genially.",Harry Potter And The Half-Blood Prince,1386,discovery,14,"Gryffindor, Granger, Slughorn"
Gryffindor,"“Well, well, take twenty wellearned points for Gryffindor, Miss Granger,” said Slughorn genially.",Harry Potter And The Half-Blood Prince,1386,discovery,14,"Gryffindor, Granger, Slughorn"
Ron,Ron looked slightly disgruntled.,Harry Potter And The Half-Blood Prince,1389,other,14,Ron
Malfoy,"oh yes,” he said, nodding gravely at Malfoy and Nott, both of whom were smirking skeptically.",Harry Potter And The Half-Blood Prince,1390,dialogue,14,"Malfoy, Nott"
Felix Felicis,"Well, that one, ladies and gentlemen, is a most curious little potion called Felix Felicis.",Harry Potter And The Half-Blood Prince,1393,magic,14,Felix Felicis
Felix Felicis,"“Now, I must give you warning that Felix Felicis is a banned substance in organized competitions . . .",Harry Potter And The Half-Blood Prince,1405,other,15,Felix Felicis
Malfoy,"Harry saw Malfoy riffling feverishly through his copy of Advanced PotionMaking., It could not have been clearer that Malfoy really wanted that lucky day.",Harry Potter And The Half-Blood Prince,1407,magic,15,"Harry, Malfoy, Advanced PotionMaking, Malfoy"
Abraxas Malfoy,"“Sir, I think you knew my grandfather, Abraxas Malfoy?”",Harry Potter And The Half-Blood Prince,1411,movement,15,Abraxas Malfoy
Harry,"Harry bent back over his cauldron, smirking.",Harry Potter And The Half-Blood Prince,1413,other,15,Harry
Felix Felicis,It looked as though Malfoy would have to rely on nothing but talent to win the bottle of Felix Felicis.,Harry Potter And The Half-Blood Prince,1413,other,15,"Malfoy, Felix Felicis"
Malfoy,It looked as though Malfoy would have to rely on nothing but talent to win the bottle of Felix Felicis.,Harry Potter And The Half-Blood Prince,1413,other,15,"Malfoy, Felix Felicis"
Harry,"At last he reached the table where Harry, Ron, Hermione, and Ernie were sitting.",Harry Potter And The Half-Blood Prince,1425,other,15,"Harry, Ernie"
Ernie,"At last he reached the table where Harry, Ron, Hermione, and Ernie were sitting.",Harry Potter And The Half-Blood Prince,1425,other,15,"Harry, Ernie"
Felix Felicis,"Here you are, then, here you are - one bottle of Felix Felicis, as promised, and use it well!”",Harry Potter And The Half-Blood Prince,1426,other,15,Felix Felicis
Gryffindor,"Once they were securely ensconced at the Gryffindor table for dinner, however, he felt safe enough to tell them.",Harry Potter And The Half-Blood Prince,1430,other,15,Gryffindor
Hermione,Hermione’s face became stonier with every word he uttered.,Harry Potter And The Half-Blood Prince,1430,movement,15,Hermione
Harry,"You’ve been taking orders from something someone wrote in a book, Harry?”",Harry Potter And The Half-Blood Prince,1434,other,15,Harry
Harry,"“Hey!” said Harry indignantly, as she pulled his copy of Advanced PotionMaking out of his bag and raised her wand.",Harry Potter And The Half-Blood Prince,1439,dialogue,15,Harry
Harry,“Finished?” said Harry irritably.,Harry Potter And The Half-Blood Prince,1440,dialogue,15,Harry
Harry,"For or the rest of the week’s Potions lessons Harry continued to follow the HalfBlood Prince’s instructions wherever they deviated from Libatius Borage’s, with the result that by their fourth lesson Slughorn was raving about Harrys abilities, saying that he had rarely taught anyone so talented.",Harry Potter And The Half-Blood Prince,1444,magic,15,"Harry, Libatius Borage’s, Slughorn, Harrys"
Libatius Borage’S,"For or the rest of the week’s Potions lessons Harry continued to follow the HalfBlood Prince’s instructions wherever they deviated from Libatius Borage’s, with the result that by their fourth lesson Slughorn was raving about Harrys abilities, saying that he had rarely taught anyone so talented.",Harry Potter And The Half-Blood Prince,1444,magic,15,"Harry, Libatius Borage’s, Slughorn, Harrys"
Harry,Harry wondered vaguely who the HalfBlood Prince had been.,Harry Potter And The Half-Blood Prince,1445,other,15,Harry
Harry,"“Or herself,” said Hermione irritably, overhearing Harry pointing some of these out to Ron in the common room on Saturday evening.",Harry Potter And The Half-Blood Prince,1446,dialogue,15,"Hermione, Harry, Ron"
Hermione,"“Or herself,” said Hermione irritably, overhearing Harry pointing some of these out to Ron in the common room on Saturday evening.",Harry Potter And The Half-Blood Prince,1446,dialogue,15,"Hermione, Harry, Ron"
Ron,"“Or herself,” said Hermione irritably, overhearing Harry pointing some of these out to Ron in the common room on Saturday evening.",Harry Potter And The Half-Blood Prince,1446,dialogue,15,"Hermione, Harry, Ron"
Dumbledore,"“It’s five to eight, I’d better go, I’ll be late for Dumbledore.”",Harry Potter And The Half-Blood Prince,1450,other,15,Dumbledore
Hermione,"gasped Hermione, looking up at once.",Harry Potter And The Half-Blood Prince,1451,other,15,Hermione
Harry,"“Good evening, sir,” said Harry, walking into the headmaster’s office.",Harry Potter And The Half-Blood Prince,1458,dialogue,15,Harry
Dumbledore,It did not even look as though Dumbledore had cleared a space for dueling practice.,Harry Potter And The Half-Blood Prince,1462,battle,15,Dumbledore
Harry,"“So, Harry,” said Dumbledore, in a businesslike voice.",Harry Potter And The Half-Blood Prince,1463,dialogue,15,"Harry, Dumbledore"
Dumbledore,"“So, Harry,” said Dumbledore, in a businesslike voice.",Harry Potter And The Half-Blood Prince,1463,dialogue,15,"Harry, Dumbledore"
Voldemort,"“Well, I have decided that it is time, now that you know what prompted Lord Voldemort to try and kill you fifteen years ago, for you to be given certain information.”",Harry Potter And The Half-Blood Prince,1464,other,15,Voldemort
Dumbledore,"“And so I did,” said Dumbledore placidly.",Harry Potter And The Half-Blood Prince,1466,dialogue,15,Dumbledore
Harry,"From here on in, Harry, I may be as woefully wrong as Humphrey Belcher, who believed the time was ripe for a cheese cauldron.”",Harry Potter And The Half-Blood Prince,1466,other,15,"Harry, Humphrey Belcher"
Humphrey Belcher,"From here on in, Harry, I may be as woefully wrong as Humphrey Belcher, who believed the time was ripe for a cheese cauldron.”",Harry Potter And The Half-Blood Prince,1466,other,15,"Harry, Humphrey Belcher"
Harry,"“It has a very great deal to do with the prophecy,” said Dumbledore, as casually as if Harry had asked him about the next days weather, “and I certainly hope that it will help you to survive.”",Harry Potter And The Half-Blood Prince,1469,dialogue,15,"Dumbledore, Harry"
Dumbledore,"“It has a very great deal to do with the prophecy,” said Dumbledore, as casually as if Harry had asked him about the next days weather, “and I certainly hope that it will help you to survive.”",Harry Potter And The Half-Blood Prince,1469,dialogue,15,"Dumbledore, Harry"
Harry,He placed the Pensieve on the desk in front of Harry.,Harry Potter And The Half-Blood Prince,1470,other,15,Harry
Dumbledore,"“He was employed by the Department of Magical Law Enforcement,” said Dumbledore.",Harry Potter And The Half-Blood Prince,1474,dialogue,15,"the Department of Magical Law Enforcement, Dumbledore"
Harry,"Harry asked again, looking at the blackened fingers with a mixture of revulsion and pity.",Harry Potter And The Half-Blood Prince,1477,dialogue,15,Harry
Bob Ogden,We have an appointment with Bob Ogden.”,Harry Potter And The Half-Blood Prince,1478,other,15,Bob Ogden
Dumbledore,"Dumbledore tipped the silvery contents of the bottle into the Pensieve, where they swirled and shimmered, neither liquid nor gas.",Harry Potter And The Half-Blood Prince,1479,other,15,"Dumbledore, Pensieve"
Harry,"Harry could see a village, undoubtedly Little Hangleton, nestled between two steep hills, its church and graveyard clearly visible.",Harry Potter And The Half-Blood Prince,1482,other,15,"Harry, Little Hangleton"
Little Hangleton,"Harry could see a village, undoubtedly Little Hangleton, nestled between two steep hills, its church and graveyard clearly visible.",Harry Potter And The Half-Blood Prince,1482,other,15,"Harry, Little Hangleton"
Little Hangleton,"He thought Little Hangleton must be their final destination and wondered, as he had done on the night they had found Slughorn, why they had to approach it from such a distance.",Harry Potter And The Half-Blood Prince,1483,discovery,15,Slughorn
Harry,Dumbledore and Harry followed him onto a narrow dirt track bordered by higher and wilder hedgerows than those they had left behind.,Harry Potter And The Half-Blood Prince,1484,movement,15,Harry
Nettles,"Nettles grew all around it, their tips reaching the windows, which were tiny and thick with grime.",Harry Potter And The Half-Blood Prince,1485,other,15,Nettles
Ogden,"“Er — I’m sorry — I don’t understand you,” said Ogden nervously.",Harry Potter And The Half-Blood Prince,1490,dialogue,15,Ogden
Harry,"Harry thought Ogden was being extremely dim; the stranger was making himself very clear in Harry’s opinion, particularly as he was brandishing a wand in one hand and a short and rather bloody knife in the other.",Harry Potter And The Half-Blood Prince,1491,movement,15,"Harry, Ogden, Harry"
Ogden,"Harry thought Ogden was being extremely dim; the stranger was making himself very clear in Harry’s opinion, particularly as he was brandishing a wand in one hand and a short and rather bloody knife in the other.",Harry Potter And The Half-Blood Prince,1491,movement,15,"Harry, Ogden, Harry"
Ogden,"“Correct!” said Ogden angrily, dabbing his face.",Harry Potter And The Half-Blood Prince,1497,dialogue,15,Ogden
Gaunt,"“And you, I take it, are Mr. Gaunt?”",Harry Potter And The Half-Blood Prince,1497,other,15,Gaunt
Harry,"This time, ready for it, Harry recognized Parseltongue; even while he could understand what was being said, he distinguished the weird hissing noise that was all Ogden could hear.",Harry Potter And The Half-Blood Prince,1502,dialogue,16,"Harry, Ogden"
Ogden,"This time, ready for it, Harry recognized Parseltongue; even while he could understand what was being said, he distinguished the weird hissing noise that was all Ogden could hear.",Harry Potter And The Half-Blood Prince,1502,dialogue,16,"Harry, Ogden"
Ogden,"“I don’t doubt it, if your son’s been let loose on them,” said Ogden.",Harry Potter And The Half-Blood Prince,1507,dialogue,16,Ogden
Gaunt,"“I’ve no use for owls,” said Gaunt.",Harry Potter And The Half-Blood Prince,1509,dialogue,16,Gaunt
Ogden,"“Then you can hardly complain that you get no warning of visitors,” said Ogden tartly.",Harry Potter And The Half-Blood Prince,1510,dialogue,16,Ogden
Slither,"Hissy, hissy, little snakey, Slither on the floor You be good to Morfin Or he’ll nail you to the door.",Harry Potter And The Half-Blood Prince,1513,other,16,"Hissy, Slither"
Hissy,"Hissy, hissy, little snakey, Slither on the floor You be good to Morfin Or he’ll nail you to the door.",Harry Potter And The Half-Blood Prince,1513,other,16,"Hissy, Slither"
Gaunt,"“Well, Mr. Gaunt,” said Ogden, “to get straight to the point, we have reason to believe that your son, Morfin, performed magic in front of a Muggle late last night.”",Harry Potter And The Half-Blood Prince,1517,dialogue,16,"Gaunt, Ogden, Morfin"
Morfin,"“Well, Mr. Gaunt,” said Ogden, “to get straight to the point, we have reason to believe that your son, Morfin, performed magic in front of a Muggle late last night.”",Harry Potter And The Half-Blood Prince,1517,dialogue,16,"Gaunt, Ogden, Morfin"
Ogden,"“Well, Mr. Gaunt,” said Ogden, “to get straight to the point, we have reason to believe that your son, Morfin, performed magic in front of a Muggle late last night.”",Harry Potter And The Half-Blood Prince,1517,dialogue,16,"Gaunt, Ogden, Morfin"
Gaunt,"“Mr. Gaunt, please!” said Ogden in a shocked voice, as Merope, who had already picked up the pot, flushed blotchily scarlet, lost her grip on the pot again, drew her wand shakily from her pocket, pointed it at the pot, and muttered a hasty, inaudible spell that caused the pot to shoot across the floor away from her, hit the opposite wall, and crack in two.",Harry Potter And The Half-Blood Prince,1520,emotional,16,"Gaunt, Ogden, Merope"
Merope,"“Mr. Gaunt, please!” said Ogden in a shocked voice, as Merope, who had already picked up the pot, flushed blotchily scarlet, lost her grip on the pot again, drew her wand shakily from her pocket, pointed it at the pot, and muttered a hasty, inaudible spell that caused the pot to shoot across the floor away from her, hit the opposite wall, and crack in two.",Harry Potter And The Half-Blood Prince,1520,emotional,16,"Gaunt, Ogden, Merope"
Ogden,"“Mr. Gaunt, please!” said Ogden in a shocked voice, as Merope, who had already picked up the pot, flushed blotchily scarlet, lost her grip on the pot again, drew her wand shakily from her pocket, pointed it at the pot, and muttered a hasty, inaudible spell that caused the pot to shoot across the floor away from her, hit the opposite wall, and crack in two.",Harry Potter And The Half-Blood Prince,1520,emotional,16,"Gaunt, Ogden, Merope"
Gaunt,"Gaunt screamed, “Mend it, you pointless lump, mend it!”",Harry Potter And The Half-Blood Prince,1521,other,16,Gaunt
Gaunt,"“Mr. Gaunt,” Ogden began again, “as I’ve said: the reason for my visit —”",Harry Potter And The Half-Blood Prince,1525,dialogue,16,Gaunt
Ogden,"“Morfin has broken Wizarding law,” said Ogden sternly.",Harry Potter And The Half-Blood Prince,1527,dialogue,16,Ogden
Ogden,"“I’m Head of the Magical Law Enforcement Squad,” said Ogden.",Harry Potter And The Half-Blood Prince,1532,dialogue,16,Ogden
Gaunt,"“And you think we’re scum, do you?” screamed Gaunt, advancing on Ogden now, with a dirty yellownailed finger pointing at his chest.",Harry Potter And The Half-Blood Prince,1533,other,16,"Gaunt, Ogden"
Ogden,"“And you think we’re scum, do you?” screamed Gaunt, advancing on Ogden now, with a dirty yellownailed finger pointing at his chest.",Harry Potter And The Half-Blood Prince,1533,other,16,"Gaunt, Ogden"
Harry,"For a moment, Harry thought Gaunt was making an obscene hand gesture, but then realized that he was showing Ogden the ugly, blackstoned ring he was wearing on his middle finger, waving it before Ogden’s eyes.",Harry Potter And The Half-Blood Prince,1535,discovery,16,"Harry, Gaunt, Ogden"
Gaunt,"For a moment, Harry thought Gaunt was making an obscene hand gesture, but then realized that he was showing Ogden the ugly, blackstoned ring he was wearing on his middle finger, waving it before Ogden’s eyes.",Harry Potter And The Half-Blood Prince,1535,discovery,16,"Harry, Gaunt, Ogden"
Harry,"For a split second, Harry thought he was going to throttle her as his hand flew to her throat; next moment, he was dragging her toward Ogden by a gold chain around her neck.",Harry Potter And The Half-Blood Prince,1537,other,16,"Harry, Ogden"
Ogden,"For a split second, Harry thought he was going to throttle her as his hand flew to her throat; next moment, he was dragging her toward Ogden by a gold chain around her neck.",Harry Potter And The Half-Blood Prince,1537,other,16,"Harry, Ogden"
Gaunt,"Gaunt said defiantly to Ogden, “I expect you’ve wiped the Muggle’s filthy face clean for him, and his memory to boot—”",Harry Potter And The Half-Blood Prince,1545,dialogue,16,"Gaunt, Ogden"
Ogden,"Gaunt said defiantly to Ogden, “I expect you’ve wiped the Muggle’s filthy face clean for him, and his memory to boot—”",Harry Potter And The Half-Blood Prince,1545,dialogue,16,"Gaunt, Ogden"
Gaunt,"“Ar, I had you marked out as a Mugglelover the moment I saw you,” sneered Gaunt, and he spat on the floor again.",Harry Potter And The Half-Blood Prince,1547,romantic,16,Gaunt
Mugg,“Morfin will attend a hearing on the fourteenth of September to answer the charges of using magic in front of a Muggle and causing harm and distress to that same Mugg —”,Harry Potter And The Half-Blood Prince,1548,magic,16,Mugg
Gaunt,"“Is it true?” said Gaunt in a deadly voice, advancing a step or two toward the terrified girl.",Harry Potter And The Half-Blood Prince,1563,dialogue,16,Gaunt
Gaunt,"“You disgusting little Squib, you filthy little blood traitor!” roared Gaunt, losing control, and his hands closed around his daughter’s throat.",Harry Potter And The Half-Blood Prince,1566,other,16,"Squib, Gaunt"
Dumbledore,"“It does,” said Dumbledore.",Harry Potter And The Half-Blood Prince,1577,dialogue,16,Dumbledore
Harry,“What went wrong?” asked Harry.,Harry Potter And The Half-Blood Prince,1590,movement,16,Harry
Ron,"As Hermione had predicted, the sixth years’ free periods were not the hours of blissful relaxation Ron had anticipated, but times in which to attempt to keep up with the vast amount of homework they were being set.",Harry Potter And The Half-Blood Prince,1606,other,17,"Hermione, Ron"
Nonverbal,"Nonverbal spells were now expected, not only in Defense Against the Dark Arts, but in Charms and Transfiguration too.",Harry Potter And The Half-Blood Prince,1607,movement,17,"Nonverbal, Defense Against the Dark Arts"
Ron,“We’ve got Quidditch tryouts this morning!” said Ron.,Harry Potter And The Half-Blood Prince,1610,dialogue,17,Ron
Aguamenti Charm,“And we’re supposed to be practicing that Aguamenti Charm from Flitwick!,Harry Potter And The Half-Blood Prince,1610,magic,17,"Aguamenti Charm, Flitwick"
Ron,"“Speak for yourself, I haven’t forgotten the skrewts,” said Ron darkly.",Harry Potter And The Half-Blood Prince,1611,dialogue,17,Ron
Hermione,"“I hate not talking to Hagrid,” said Hermione, looking upset.",Harry Potter And The Half-Blood Prince,1612,dialogue,17,"Hagrid, Hermione"
Quidditch,"“It’s not Quidditch that’s popular, it’s you!",Harry Potter And The Half-Blood Prince,1614,other,17,Quidditch
Harry,Hermione spared him one look of disdain before turning back to Harry.,Harry Potter And The Half-Blood Prince,1615,other,17,Harry
Harry,"“Excellent, who?” said Harry, thinking of Bellatrix Lestrange.",Harry Potter And The Half-Blood Prince,1631,movement,17,"Harry, Bellatrix Lestrange"
Stanley Shunpike,"“‘Stanley Shunpike, conductor on the popular Wizarding conveyance the Knight Bus, has been arrested on suspicion of Death Eater activity.",Harry Potter And The Half-Blood Prince,1632,death,17,"Stanley Shunpike, Wizarding, Death Eater"
Harry,"“Stan Shunpike, a Death Eater?” said Harry, remembering the spotty youth he had first met three years before.",Harry Potter And The Half-Blood Prince,1633,death,17,"Stan Shunpike, Harry"
Stan Shunpike,"“Stan Shunpike, a Death Eater?” said Harry, remembering the spotty youth he had first met three years before.",Harry Potter And The Half-Blood Prince,1633,death,17,"Stan Shunpike, Harry"
Ron,"“He might have been put under the Imperius Curse,” said Ron reasonably.",Harry Potter And The Half-Blood Prince,1634,battle,17,Ron
Ron,"“It sounds like he was trying to make out he knew more than he did,” said Ron.",Harry Potter And The Half-Blood Prince,1636,dialogue,17,Ron
Hermione,"“They probably want to look as though they’re doing something,” said Hermione, frowning.",Harry Potter And The Half-Blood Prince,1638,dialogue,17,Hermione
Hogwarts,"“But Hogwarts is safer than their homes, bound to be!",Harry Potter And The Half-Blood Prince,1639,other,17,Hogwarts
Dumbledore,"We’ve got Aurors, and all those extra protective spells, and we’ve got Dumbledore!”",Harry Potter And The Half-Blood Prince,1639,magic,17,Dumbledore
Harry,"Harry and Ron did not answer, but Harry knew that they were all thinking the same thing.",Harry Potter And The Half-Blood Prince,1643,other,17,"Harry, Ron, Harry"
Ron,"Harry and Ron did not answer, but Harry knew that they were all thinking the same thing.",Harry Potter And The Half-Blood Prince,1643,other,17,"Harry, Ron, Harry"
Harry,"As Harry had expected, the trials took most of the morning.",Harry Potter And The Half-Blood Prince,1645,other,17,Harry
Harry,"The latter included a large, wiryhaired boy Harry recognized immediately from the Hogwarts Express.",Harry Potter And The Half-Blood Prince,1645,other,17,"Harry, the Hogwarts Express"
Keeper,"“Cormac McLaggen, Keeper.”",Harry Potter And The Half-Blood Prince,1646,other,17,Keeper
Harry,"“You didn’t try out last year, did you?” asked Harry, taking note of the breadth of McLaggen and thinking that he would probably block all three goal hoops without even moving.",Harry Potter And The Half-Blood Prince,1647,dialogue,17,"Harry, McLaggen"
Sluggy’S,He thought he saw a flicker of annoyance pass over McLaggen’s face and wondered whether McLaggen expected preferential treatment because they were both “old Sluggy’s” favorites.,Harry Potter And The Half-Blood Prince,1649,other,17,"McLaggen, McLaggen, Sluggy’s"
Harry,"Pleased though he was with his choices, Harry had also shouted himself hoarse at the many complainers and was now enduring a similar battle with the rejected Beaters.",Harry Potter And The Half-Blood Prince,1654,other,17,Harry
Jimmy Peakes,"Neither of his chosen Beaters had the old brilliance of Fred and George, but he was still reasonably pleased with them: Jimmy Peakes, a short but broadchested thirdyear boy who had managed to raise a lump the size of an egg on the back of Harry’s head with a ferociously hit Bludger, and Ritchie Coote, who looked weedy but aimed well.",Harry Potter And The Half-Blood Prince,1656,other,17,"Beaters, Fred and George, Jimmy Peakes, Harry’s, Ritchie Coote"
Ritchie Coote,"Neither of his chosen Beaters had the old brilliance of Fred and George, but he was still reasonably pleased with them: Jimmy Peakes, a short but broadchested thirdyear boy who had managed to raise a lump the size of an egg on the back of Harry’s head with a ferociously hit Bludger, and Ritchie Coote, who looked weedy but aimed well.",Harry Potter And The Half-Blood Prince,1656,other,17,"Beaters, Fred and George, Jimmy Peakes, Harry’s, Ritchie Coote"
Harry’S,"Neither of his chosen Beaters had the old brilliance of Fred and George, but he was still reasonably pleased with them: Jimmy Peakes, a short but broadchested thirdyear boy who had managed to raise a lump the size of an egg on the back of Harry’s head with a ferociously hit Bludger, and Ritchie Coote, who looked weedy but aimed well.",Harry Potter And The Half-Blood Prince,1656,other,17,"Beaters, Fred and George, Jimmy Peakes, Harry’s, Ritchie Coote"
Fred And George,"Neither of his chosen Beaters had the old brilliance of Fred and George, but he was still reasonably pleased with them: Jimmy Peakes, a short but broadchested thirdyear boy who had managed to raise a lump the size of an egg on the back of Harry’s head with a ferociously hit Bludger, and Ritchie Coote, who looked weedy but aimed well.",Harry Potter And The Half-Blood Prince,1656,other,17,"Beaters, Fred and George, Jimmy Peakes, Harry’s, Ritchie Coote"
Ron,Ron looked ready to pass out as he mounted his Cleansweep Eleven.,Harry Potter And The Half-Blood Prince,1659,other,17,"Ron, Cleansweep Eleven"
Ron,"He would have quite liked to have hidden his face in his hands, as she did a moment later, but thought that as the Captain he ought to show slightly more grit, and so turned to watch Ron do his trial.",Harry Potter And The Half-Blood Prince,1659,other,17,"Captain, Ron"
Ron,"Yet he need not have worried: Ron saved one, two, three, four, five penalties in a row.",Harry Potter And The Half-Blood Prince,1660,other,17,Ron
Ron’S Keeper,"Ron’s Keeper, he won it fair and square.",Harry Potter And The Half-Blood Prince,1664,other,17,Ron’s Keeper
Harry,"After fixing the time of their first full practice for the following Thursday, Harry, Ron, and Hermione bade goodbye to the rest of the team and headed off toward Hagrid’s.",Harry Potter And The Half-Blood Prince,1668,other,17,"Harry, Ron, Hermione, Hagrid"
Ron,"After fixing the time of their first full practice for the following Thursday, Harry, Ron, and Hermione bade goodbye to the rest of the team and headed off toward Hagrid’s.",Harry Potter And The Half-Blood Prince,1668,other,17,"Harry, Ron, Hermione, Hagrid"
Hermione,"“Oh dear,” said Hermione nervously.",Harry Potter And The Half-Blood Prince,1674,dialogue,17,Hermione
Aragog,“I got ‘em ter feed ter Aragog.”,Harry Potter And The Half-Blood Prince,1697,other,17,Aragog
Hermione,"“I don’ think there is, Hermione,” choked Hagrid, attempting to stem the flood of his tears.",Harry Potter And The Half-Blood Prince,1702,emotional,18,"Hermione, Hagrid"
